iShares U.S. Insurance ETF
Inception Date,"01-may-2006"
Fund Holdings as of,"06-sep-2018"
Total Net Assets,"116,250,833.46"
,"1,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"CB","CHUBB LTD","Equity","8.72","137.34","73,813.00","10,137,477.42","10,137,477.42","Financieros","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","6.77","53.90","145,957.00","7,867,082.30","7,867,082.30","Financieros","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","6.52","45.83","165,467.00","7,583,352.61","7,583,352.61","Financieros","2573209","US59156R1086","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","5.89","98.73","69,393.00","6,851,170.89","6,851,170.89","Financieros","2819118","US7443201022","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","5.78","68.82","97,695.00","6,723,369.90","6,723,369.90","Financieros","2705024","US7433151039","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","5.26","46.89","130,296.00","6,109,579.44","6,109,579.44","Financieros","2026361","US0010551028","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.20","132.57","45,569.00","6,041,082.33","6,041,082.33","Financieros","2769503","US89417E1091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","5.19","101.10","59,673.00","6,032,940.30","6,032,940.30","Financieros","2019952","US0200021014","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","2.77","49.88","64,613.00","3,222,896.44","3,222,896.44","Financieros","2476193","US4165151048","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.66","1,208.52","2,562.00","3,096,228.24","3,096,228.24","Financieros","2566436","US5705351048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.36","55.72","49,207.00","2,741,814.04","2,741,814.04","Financieros","2803014","US74251V1026","NASDAQ"
"XL","XL GROUP LTD","Equity","2.36","57.17","47,949.00","2,741,244.33","2,741,244.33","Financieros","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.27","65.35","40,462.00","2,644,191.70","2,644,191.70","Financieros","2516378","US5341871094","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","2.19","73.86","34,490.00","2,547,431.40","2,547,431.40","Financieros","2359506","US3635761097","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.11","49.89","49,192.00","2,454,188.88","2,454,188.88","Financieros","2523022","US5404241086","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","2.03","30.36","77,894.00","2,364,861.84","2,364,861.84","Financieros","2740542","BMG0450A1053","NASDAQ"
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.92","77.64","28,730.00","2,230,597.20","2,230,597.20","Financieros","2196888","US1720621010","NASDAQ"
"Y","ALLEGHANY CORP","Equity","1.64","636.36","2,993.00","1,904,625.48","1,904,625.48","Financieros","2016801","US0171751003","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","1.57","88.61","20,655.00","1,830,239.55","1,830,239.55","Financieros","2896713","US8910271043","New York Stock Exchange Inc."
