iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Dec 29, 2017"
Total Net Assets,"176,451,205.95"
Shares Outstanding,"2,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","9.13","146.13","110,218.00","16,106,156.34","16,106,156.34","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","7.41","59.58","219,428.00","13,073,520.24","13,073,520.24","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","7.34","50.56","256,223.00","12,954,634.88","12,954,634.88","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","6.82","114.98","104,629.00","12,030,242.42","12,030,242.42","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","5.43","104.71","91,482.00","9,579,080.22","9,579,080.22","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.36","135.64","69,735.00","9,458,855.40","9,458,855.40","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","5.02","87.78","100,983.00","8,864,287.74","8,864,287.74","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","4.81","56.32","150,743.00","8,489,845.76","8,489,845.76","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.12","56.28","97,868.00","5,508,011.04","5,508,011.04","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.95","70.56","73,704.00","5,200,554.24","5,200,554.24","Financials","2803014","US74251V1026","NASDAQ"
"LNC","LINCOLN NATIONAL CORP","Equity","2.66","76.87","61,105.00","4,697,141.35","4,697,141.35","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.54","1,139.13","3,942.00","4,490,450.46","4,490,450.46","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.24","50.03","78,938.00","3,949,268.14","3,949,268.14","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"UNM","UNUM","Equity","2.01","54.89","64,669.00","3,549,681.41","3,549,681.41","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.95","90.77","37,886.00","3,438,912.22","3,438,912.22","Financials","2740542","BMG0450A1053","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","1.88","63.28","52,356.00","3,313,087.68","3,313,087.68","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.85","74.97","43,653.00","3,272,665.41","3,272,665.41","Financials","2196888","US1720621010","NASDAQ"
"TMK","TORCHMARK CORP","Equity","1.64","90.71","31,930.00","2,896,370.30","2,896,370.30","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.53","49.47","54,524.00","2,697,302.28","2,697,302.28","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
