iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"186,836,716.49"
Shares Outstanding,"2,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","9.57","156.15","114,475.00","17,875,271.25","17,875,271.25","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","7.79","63.92","227,821.00","14,562,318.32","14,562,318.32","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","6.91","118.82","108,619.00","12,906,109.58","12,906,109.58","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","6.85","48.07","266,143.00","12,793,494.01","12,793,494.01","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.81","149.92","72,461.00","10,863,353.12","10,863,353.12","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","5.02","98.77","95,054.00","9,388,483.58","9,388,483.58","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","4.95","88.20","104,926.00","9,254,473.20","9,254,473.20","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","4.54","54.10","156,651.00","8,474,819.10","8,474,819.10","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.19","58.76","101,562.00","5,967,783.12","5,967,783.12","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.81","82.80","63,411.00","5,250,430.80","5,250,430.80","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.77","67.60","76,640.00","5,180,864.00","5,180,864.00","Financials","2803014","US74251V1026","NASDAQ"
"MKL","MARKEL CORP","Equity","2.51","1,147.69","4,090.00","4,694,052.10","4,694,052.10","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.26","51.65","81,916.00","4,230,961.40","4,230,961.40","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","1.99","68.32","54,461.00","3,720,775.52","3,720,775.52","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.91","90.94","39,337.00","3,577,306.78","3,577,306.78","Financials","2740542","BMG0450A1053","NASDAQ"
"UNM","UNUM","Equity","1.91","53.19","67,109.00","3,569,527.71","3,569,527.71","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.87","76.90","45,326.00","3,485,569.40","3,485,569.40","Financials","2196888","US1720621010","NASDAQ"
"TMK","TORCHMARK CORP","Equity","1.61","90.85","33,162.00","3,012,767.70","3,012,767.70","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.57","51.91","56,619.00","2,939,092.29","2,939,092.29","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"XL","XL GROUP LTD","Equity","1.56","36.84","79,310.00","2,921,780.40","2,921,780.40","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","1.37","627.70","4,082.00","2,562,271.40","2,562,271.40","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","1.34","113.34","22,097.00","2,504,473.98","2,504,473.98","Financials","2134532","US0259321042","New York Stock Exchange Inc."
