iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"174,432,657.41"
Shares Outstanding,"2,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","9.14","141.92","112,394.00","15,950,956.48","15,950,956.48","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","7.35","57.34","223,679.00","12,825,753.86","12,825,753.86","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","6.92","46.19","261,304.00","12,069,631.76","12,069,631.76","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","6.50","106.32","106,644.00","11,338,390.08","11,338,390.08","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.67","139.00","71,144.00","9,889,016.00","9,889,016.00","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","5.25","88.88","103,018.00","9,156,239.84","9,156,239.84","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","5.08","57.58","153,803.00","8,855,976.74","8,855,976.74","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","4.94","92.26","93,326.00","8,610,256.76","8,610,256.76","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.02","52.85","99,715.00","5,269,937.75","5,269,937.75","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.72","76.17","62,258.00","4,742,191.86","4,742,191.86","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.69","62.33","75,247.00","4,690,145.51","4,690,145.51","Financials","2803014","US74251V1026","NASDAQ"
"MKL","MARKEL CORP","Equity","2.56","1,112.00","4,016.00","4,465,792.00","4,465,792.00","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.27","49.33","80,427.00","3,967,463.91","3,967,463.91","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","2.12","69.11","53,471.00","3,695,380.81","3,695,380.81","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.95","88.24","38,622.00","3,408,005.28","3,408,005.28","Financials","2740542","BMG0450A1053","NASDAQ"
"UNM","UNUM","Equity","1.92","50.96","65,889.00","3,357,703.44","3,357,703.44","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.90","74.59","44,502.00","3,319,404.18","3,319,404.18","Financials","2196888","US1720621010","NASDAQ"
"XL","XL GROUP LTD","Equity","1.89","42.31","77,868.00","3,294,595.08","3,294,595.08","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.63","51.02","55,590.00","2,836,201.80","2,836,201.80","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","1.59","85.37","32,559.00","2,779,561.83","2,779,561.83","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","1.42","606.15","4,082.00","2,474,304.30","2,474,304.30","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","1.40","112.80","21,695.00","2,447,196.00","2,447,196.00","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","1.19","68.38","30,428.00","2,080,666.64","2,080,666.64","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","1.19","58.03","35,715.00","2,072,541.45","2,072,541.45","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
