iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Mar 29, 2018"
Total Net Assets,"132,305,377.16"
Shares Outstanding,"2,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","8.61","136.77","83,267.00","11,388,427.59","11,388,427.59","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","6.84","54.42","166,286.00","9,049,284.12","9,049,284.12","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","6.70","45.89","193,194.00","8,865,672.66","8,865,672.66","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","6.21","103.55","79,380.00","8,219,799.00","8,219,799.00","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.49","138.86","52,310.00","7,263,766.60","7,263,766.60","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","5.24","60.93","113,732.00","6,929,690.76","6,929,690.76","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","5.02","43.76","151,896.00","6,646,968.96","6,646,968.96","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","4.98","94.80","69,482.00","6,586,893.60","6,586,893.60","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","2.92","51.52","75,042.00","3,866,163.84","3,866,163.84","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.67","1,170.25","3,021.00","3,535,325.25","3,535,325.25","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.66","60.91","57,794.00","3,520,232.54","3,520,232.54","Financials","2803014","US74251V1026","NASDAQ"
"LNC","LINCOLN NATIONAL CORP","Equity","2.59","73.06","46,820.00","3,420,669.20","3,420,669.20","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"XL","XL GROUP LTD","Equity","2.35","55.26","56,181.00","3,104,562.06","3,104,562.06","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.23","49.73","59,382.00","2,953,066.86","2,953,066.86","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","2.10","68.73","40,398.00","2,776,554.54","2,776,554.54","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.98","85.59","30,545.00","2,614,346.55","2,614,346.55","Financials","2740542","BMG0450A1053","NASDAQ"
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.89","74.26","33,709.00","2,503,230.34","2,503,230.34","Financials","2196888","US1720621010","NASDAQ"
"UNM","UNUM","Equity","1.80","47.61","50,126.00","2,386,498.86","2,386,498.86","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
