iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Apr 28, 2017"
Total Net Assets,"163,662,669.48"
Shares Outstanding,"2,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","10.65","137.25","126,968.00","17,426,358.00","17,426,358.00","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","9.45","60.91","253,803.00","15,459,140.73","15,459,140.73","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","9.39","51.81","296,504.00","15,361,872.24","15,361,872.24","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","7.67","107.03","117,333.00","12,558,150.99","12,558,150.99","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.68","121.66","76,388.00","9,293,364.08","9,293,364.08","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","5.02","74.88","109,693.00","8,213,811.84","8,213,811.84","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","4.96","81.29","99,770.00","8,110,303.30","8,110,303.30","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","3.86","39.72","158,882.00","6,310,793.04","6,310,793.04","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.03","48.36","102,430.00","4,953,514.80","4,953,514.80","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.92","65.13","73,269.00","4,772,009.97","4,772,009.97","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.49","65.93","61,787.00","4,073,616.91","4,073,616.91","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.26","969.60","3,808.00","3,692,236.80","3,692,236.80","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.16","46.62","75,804.00","3,533,982.48","3,533,982.48","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.99","96.97","33,619.00","3,260,034.43","3,260,034.43","Financials","2740542","BMG0450A1053","NASDAQ"
"XL","XL GROUP LTD","Equity","1.86","41.85","72,892.00","3,050,530.20","3,050,530.20","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.82","72.09","41,231.00","2,972,342.79","2,972,342.79","Financials","2196888","US1720621010","NASDAQ"
"UNM","UNUM","Equity","1.79","46.33","63,066.00","2,921,847.78","2,921,847.78","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","1.68","55.81","49,163.00","2,743,787.03","2,743,787.03","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","1.42","76.71","30,215.00","2,317,792.65","2,317,792.65","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","1.20","610.70","3,216.00","1,964,011.20","1,964,011.20","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","1.20","97.31","20,130.00","1,958,850.30","1,958,850.30","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.20","37.38","52,394.00","1,958,487.72","1,958,487.72","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","1.11","67.98","26,835.00","1,824,243.30","1,824,243.30","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"AXS","AXIS CAPITAL HOLDINGS LTD","Equity","0.99","65.90","24,502.00","1,614,681.80","1,614,681.80","Financials","2677606","BMG0692U1099","New York Stock Exchange Inc."
