iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"May 31, 2017"
Total Net Assets,"168,162,783.07"
Shares Outstanding,"2,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","11.10","143.19","130,366.00","18,667,107.54","18,667,107.54","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","9.32","63.63","246,228.00","15,667,487.64","15,667,487.64","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","9.16","50.59","304,403.00","15,399,747.77","15,399,747.77","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","7.51","104.85","120,437.00","12,627,819.45","12,627,819.45","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.82","124.85","78,392.00","9,787,241.20","9,787,241.20","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","5.26","86.34","102,369.00","8,838,539.46","8,838,539.46","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","5.05","75.38","112,559.00","8,484,697.42","8,484,697.42","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","4.11","42.43","162,982.00","6,915,326.26","6,915,326.26","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.09","49.39","105,065.00","5,189,160.35","5,189,160.35","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.81","62.91","75,171.00","4,729,007.61","4,729,007.61","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.45","64.98","63,367.00","4,117,587.66","4,117,587.66","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.29","977.25","3,939.00","3,849,387.75","3,849,387.75","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.18","47.16","77,755.00","3,666,925.80","3,666,925.80","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","2.00","97.25","34,588.00","3,363,683.00","3,363,683.00","Financials","2740542","BMG0450A1053","NASDAQ"
"XL","XL GROUP LTD","Equity","1.94","43.69","74,704.00","3,263,817.76","3,263,817.76","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.76","70.08","42,295.00","2,964,033.60","2,964,033.60","Financials","2196888","US1720621010","NASDAQ"
"UNM","UNUM","Equity","1.73","44.98","64,685.00","2,909,531.30","2,909,531.30","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","1.70","56.73","50,408.00","2,859,645.84","2,859,645.84","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","1.39","75.50","30,983.00","2,339,216.50","2,339,216.50","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","1.23","99.85","20,713.00","2,068,193.05","2,068,193.05","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","1.13","68.99","27,512.00","1,898,052.88","1,898,052.88","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","1.12","587.34","3,216.00","1,888,885.44","1,888,885.44","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.09","34.18","53,754.00","1,837,311.72","1,837,311.72","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"AXS","AXIS CAPITAL HOLDINGS LTD","Equity","0.98","65.58","25,150.00","1,649,337.00","1,649,337.00","Financials","2677606","BMG0692U1099","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","0.92","97.98","15,831.00","1,551,121.38","1,551,121.38","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.85","43.43","32,737.00","1,421,767.91","1,421,767.91","Financials","2692687","US1152361010","New York Stock Exchange Inc."
