iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Jun 30, 2017"
Total Net Assets,"171,861,848.86"
Shares Outstanding,"2,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","10.08","145.38","119,150.00","17,322,027.00","17,322,027.00","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","8.95","54.94","280,017.00","15,384,133.98","15,384,133.98","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","8.28","62.52","227,667.00","14,233,740.84","14,233,740.84","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","7.10","108.14","112,824.00","12,200,787.36","12,200,787.36","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.52","126.53","74,912.00","9,478,615.36","9,478,615.36","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","5.07","88.44","98,440.00","8,706,033.60","8,706,033.60","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","4.86","77.68","107,573.00","8,356,270.64","8,356,270.64","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","4.09","44.09","159,540.00","7,034,118.60","7,034,118.60","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.16","52.57","103,301.00","5,430,533.57","5,430,533.57","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.83","64.07","75,907.00","4,863,361.49","4,863,361.49","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.53","67.58","64,233.00","4,340,866.14","4,340,866.14","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.29","975.86","4,025.00","3,927,836.50","3,927,836.50","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.17","46.81","79,802.00","3,735,531.62","3,735,531.62","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","2.05","93.29","37,841.00","3,530,186.89","3,530,186.89","Financials","2740542","BMG0450A1053","NASDAQ"
"XL","XL GROUP LTD","Equity","1.95","43.80","76,442.00","3,348,159.60","3,348,159.60","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.86","72.45","44,049.00","3,191,350.05","3,191,350.05","Financials","2196888","US1720621010","NASDAQ"
"UNM","UNUM","Equity","1.83","46.63","67,266.00","3,136,613.58","3,136,613.58","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","1.76","57.25","52,853.00","3,025,834.25","3,025,834.25","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","1.45","76.50","32,645.00","2,497,342.50","2,497,342.50","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","1.29","99.37","22,324.00","2,218,335.88","2,218,335.88","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.22","36.89","56,826.00","2,096,311.14","2,096,311.14","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","1.18","69.17","29,237.00","2,022,323.29","2,022,323.29","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","1.11","594.80","3,216.00","1,912,876.80","1,912,876.80","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","1.03","103.69","17,030.00","1,765,840.70","1,765,840.70","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"AXS","AXIS CAPITAL HOLDINGS LTD","Equity","0.99","64.66","26,291.00","1,699,976.06","1,699,976.06","Financials","2677606","BMG0692U1099","New York Stock Exchange Inc."
"AGO","ASSURED GUARANTY LTD","Equity","0.93","41.74","38,210.00","1,594,885.40","1,594,885.40","Financials","B00V7H8","BMG0585R1060","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.90","43.07","36,060.00","1,553,104.20","1,553,104.20","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.88","44.69","33,963.00","1,517,806.47","1,517,806.47","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.86","19.53","75,533.00","1,475,159.49","1,475,159.49","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"AWH","ALLIED WORLD ASSURANCE COMPANY HOL","Equity","0.85","52.90","27,568.00","1,458,347.20","1,458,347.20","Financials","B4LMCN9","CH0121032772","New York Stock Exchange Inc."
