iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Jul 31, 2017"
Total Net Assets,"177,657,998.90"
Shares Outstanding,"2,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","9.91","146.46","120,230.00","17,608,885.80","17,608,885.80","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","8.74","55.00","282,413.00","15,532,715.00","15,532,715.00","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","8.44","65.45","229,044.00","14,990,929.80","14,990,929.80","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","7.23","113.23","113,493.00","12,850,812.39","12,850,812.39","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.45","128.09","75,553.00","9,677,583.77","9,677,583.77","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","5.09","91.00","99,283.00","9,034,753.00","9,034,753.00","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","4.87","79.75","108,489.00","8,651,997.75","8,651,997.75","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","4.27","47.13","160,928.00","7,584,536.64","7,584,536.64","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.23","55.00","104,203.00","5,731,165.00","5,731,165.00","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.88","66.75","76,564.00","5,110,647.00","5,110,647.00","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.66","73.06","64,781.00","4,732,899.86","4,732,899.86","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.45","1,071.51","4,060.00","4,350,330.60","4,350,330.60","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.21","48.68","80,524.00","3,919,908.32","3,919,908.32","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","2.09","97.26","38,185.00","3,713,873.10","3,713,873.10","Financials","2740542","BMG0450A1053","NASDAQ"
"XL","XL GROUP LTD","Equity","1.93","44.40","77,133.00","3,424,705.20","3,424,705.20","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"UNM","UNUM","Equity","1.91","50.13","67,868.00","3,402,222.84","3,402,222.84","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.91","76.16","44,449.00","3,385,235.84","3,385,235.84","Financials","2196888","US1720621010","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","1.77","58.79","53,344.00","3,136,093.76","3,136,093.76","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","1.46","78.97","32,950.00","2,602,061.50","2,602,061.50","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","1.30","613.34","3,764.00","2,308,611.76","2,308,611.76","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","1.29","101.40","22,528.00","2,284,339.20","2,284,339.20","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.27","39.24","57,327.00","2,249,511.48","2,249,511.48","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","1.16","68.97","29,943.00","2,065,168.71","2,065,168.71","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","1.02","105.27","17,190.00","1,809,591.30","1,809,591.30","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"AXS","AXIS CAPITAL HOLDINGS LTD","Equity","0.97","64.58","26,552.00","1,714,728.16","1,714,728.16","Financials","2677606","BMG0692U1099","New York Stock Exchange Inc."
"AGO","ASSURED GUARANTY LTD","Equity","0.95","45.01","37,593.00","1,692,060.93","1,692,060.93","Financials","B00V7H8","BMG0585R1060","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.93","48.41","34,087.00","1,650,151.67","1,650,151.67","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.91","44.60","36,439.00","1,625,179.40","1,625,179.40","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.84","19.62","75,807.00","1,487,333.34","1,487,333.34","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"THG","HANOVER INSURANCE GROUP INC","Equity","0.74","94.86","13,930.00","1,321,399.80","1,321,399.80","Financials","2020415","US4108671052","New York Stock Exchange Inc."
"WTM","WHITE MOUNTAINS INSURANCE GROUP LT","Equity","0.72","864.60","1,478.00","1,277,878.80","1,277,878.80","Financials","2339252","BMG9618E1075","New York Stock Exchange Inc."
"PRA","PROASSURANCE CORP","Equity","0.62","61.80","17,685.00","1,092,933.00","1,092,933.00","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"PRI","PRIMERICA INC","Equity","0.59","81.05","13,042.00","1,057,054.10","1,057,054.10","Financials","B50K3X8","US74164M1080","New York Stock Exchange Inc."
