iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"174,152,711.98"
Shares Outstanding,"2,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","9.97","141.42","122,477.00","17,320,697.34","17,320,697.34","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","8.12","60.48","233,486.00","14,121,233.28","14,121,233.28","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","7.75","46.83","287,719.00","13,473,880.77","13,473,880.77","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","6.79","102.08","115,687.00","11,809,328.96","11,809,328.96","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.36","121.18","76,927.00","9,322,013.86","9,322,013.86","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","5.26","90.50","101,088.00","9,148,464.00","9,148,464.00","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","5.25","82.55","110,462.00","9,118,638.10","9,118,638.10","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","4.38","46.48","163,854.00","7,615,933.92","7,615,933.92","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.30","54.07","106,098.00","5,736,718.86","5,736,718.86","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.80","62.52","77,956.00","4,873,809.12","4,873,809.12","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.58","67.86","65,959.00","4,475,977.74","4,475,977.74","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.50","1,051.99","4,134.00","4,348,926.66","4,348,926.66","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.20","46.58","81,988.00","3,819,001.04","3,819,001.04","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","2.18","97.34","38,879.00","3,784,481.86","3,784,481.86","Financials","2740542","BMG0450A1053","NASDAQ"
"CINF","CINCINNATI FINANCIAL CORP","Equity","2.00","76.84","45,257.00","3,477,547.88","3,477,547.88","Financials","2196888","US1720621010","NASDAQ"
"UNM","UNUM","Equity","1.92","48.18","69,102.00","3,329,334.36","3,329,334.36","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"XL","XL GROUP LTD","Equity","1.85","40.96","78,535.00","3,216,793.60","3,216,793.60","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","1.81","57.90","54,314.00","3,144,780.60","3,144,780.60","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","1.49","76.97","33,549.00","2,582,266.53","2,582,266.53","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","1.34","101.81","22,938.00","2,335,317.78","2,335,317.78","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.28","38.23","58,369.00","2,231,446.87","2,231,446.87","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","1.22","562.77","3,764.00","2,118,266.28","2,118,266.28","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","1.17","66.64","30,487.00","2,031,653.68","2,031,653.68","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.98","49.06","34,753.00","1,704,982.18","1,704,982.18","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.96","44.96","37,102.00","1,668,105.92","1,668,105.92","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","0.95","94.69","17,503.00","1,657,359.07","1,657,359.07","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"AGO","ASSURED GUARANTY LTD","Equity","0.95","42.54","38,938.00","1,656,422.52","1,656,422.52","Financials","B00V7H8","BMG0585R1060","New York Stock Exchange Inc."
"AXS","AXIS CAPITAL HOLDINGS LTD","Equity","0.94","60.24","27,035.00","1,628,588.40","1,628,588.40","Financials","2677606","BMG0692U1099","New York Stock Exchange Inc."
"BHF","BRIGHTHOUSE FINANCIAL INC","Equity","0.87","57.07","26,579.00","1,516,863.53","1,516,863.53","Financials","BF429K9","US10922N1037","NASDAQ"
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.85","19.09","77,288.00","1,475,427.92","1,475,427.92","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"THG","HANOVER INSURANCE GROUP INC","Equity","0.80","98.18","14,183.00","1,392,486.94","1,392,486.94","Financials","2020415","US4108671052","New York Stock Exchange Inc."
"WTM","WHITE MOUNTAINS INSURANCE GROUP LT","Equity","0.75","871.07","1,505.00","1,310,960.35","1,310,960.35","Financials","2339252","BMG9618E1075","New York Stock Exchange Inc."
"SIGI","SELECTIVE INSURANCE GROUP INC","Equity","0.57","50.40","19,821.00","998,978.40","998,978.40","Financials","2766173","US8163001071","NASDAQ"
"PRI","PRIMERICA INC","Equity","0.57","76.55","13,042.00","998,365.10","998,365.10","Financials","B50K3X8","US74164M1080","New York Stock Exchange Inc."
"PRA","PROASSURANCE CORP","Equity","0.55","53.25","18,007.00","958,872.75","958,872.75","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"ATH","ATHENE HOLDING LTD","Equity","0.55","53.51","17,913.00","958,524.63","958,524.63","Financials","BZ13MZ1","BMG0684D1074","New York Stock Exchange Inc."
"CNO","CNO FINANCIAL GROUP INC","Equity","0.52","22.35","40,455.00","904,169.25","904,169.25","Financials","2657750","US12621E1038","New York Stock Exchange Inc."
"KMPR","KEMPER CORP","Equity","0.45","47.90","16,335.00","782,446.50","782,446.50","Financials","B52KRV2","US4884011002","New York Stock Exchange Inc."
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.45","120.79","6,476.00","782,236.04","782,236.04","Financials","2311711","US29530P1021","NASDAQ"
"MCY","MERCURY GENERAL CORP","Equity","0.42","57.47","12,687.00","729,121.89","729,121.89","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.42","53.52","13,516.00","723,376.32","723,376.32","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.38","60.20","10,842.00","652,688.40","652,688.40","Financials","2499543","BMG0464B1072","NASDAQ"
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.31","27.76","19,692.00","546,649.92","546,649.92","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.30","35.15","14,914.00","524,227.10","524,227.10","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.29","42.15","12,098.00","509,930.70","509,930.70","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.28","12.40","39,734.00","492,701.60","492,701.60","Financials","B1H4YP4","US0323593097","NASDAQ"
"CNA","CNA FINANCIAL CORP","Equity","0.28","49.06","10,037.00","492,415.22","492,415.22","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"MBI","MBIA INC","Equity","0.26","10.06","45,710.00","459,842.60","459,842.60","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"NAVG","NAVIGATORS GROUP INC","Equity","0.25","55.80","7,776.00","433,900.80","433,900.80","Financials","2627850","US6389041020","NASDAQ"
"GNW","GENWORTH FINANCIAL A INC","Equity","0.24","3.43","123,407.00","423,286.01","423,286.01","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.23","17.17","23,233.00","398,910.61","398,910.61","Financials","BJ35QL7","US6362203035","NASDAQ"
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.22","88.45","4,322.00","382,280.90","382,280.90","Financials","2313739","US45665Q1031","NASDAQ"
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.21","115.71","3,212.00","371,660.52","371,660.52","Financials","2028420","US0285911055","NASDAQ"
"AMSF","AMERISAFE INC","Equity","0.20","53.80","6,601.00","355,133.80","355,133.80","Financials","B0PPHS6","US03071H1005","NASDAQ"
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.20","39.88","8,856.00","353,177.28","353,177.28","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"USD","USD CASH","Cash","0.19","100.00","337,616.00","337,616.05","337,616.05","Cash and/or Derivatives","-","-","-"
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.17","334.41","894.00","298,962.54","298,962.54","Financials","BYSPYB3","US6385171029","NASDAQ"
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.17","68.00","4,305.00","292,740.00","292,740.00","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.16","21.45","13,268.00","284,598.60","284,598.60","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"SNC","STATE NATIONAL COMPANIES INC","Equity","0.16","20.77","13,299.00","276,220.23","276,220.23","Financials","BSHYJF8","US85711T3059","NASDAQ"
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.14","71.40","3,341.00","238,547.40","238,547.40","Financials","2958538","US78648T1007","NASDAQ"
"UFCS","UNITED FIRE GROUP INC","Equity","0.13","42.06","5,390.00","226,703.40","226,703.40","Financials","B4WXG84","US9103401082","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.11","18.19","10,271.00","186,829.49","186,829.49","Financials","B7ZKH46","US0231398845","NASDAQ"
"OB","ONEBEACON INSURANCE GROUP LTD CLAS","Equity","0.11","18.22","10,068.00","183,438.96","183,438.96","Financials","B1GN3G6","BMG677421098","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.08","1.00","133,671.00","133,670.71","133,670.71","Cash and/or Derivatives","-","US0669224778","-"
 
