iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"172,122,661.95"
Shares Outstanding,"2,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","9.19","142.55","110,925.00","15,812,358.75","15,812,358.75","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","7.86","51.95","260,459.00","13,530,845.05","13,530,845.05","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","7.83","61.39","219,548.00","13,478,051.72","13,478,051.72","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","6.58","106.32","106,596.00","11,333,286.72","11,333,286.72","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.09","122.52","71,453.00","8,754,421.56","8,754,421.56","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","5.01","91.91","93,879.00","8,628,418.89","8,628,418.89","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","4.84","81.39","102,420.00","8,335,963.80","8,335,963.80","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","4.35","48.42","154,737.00","7,492,365.54","7,492,365.54","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.24","55.43","100,636.00","5,578,253.48","5,578,253.48","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.83","64.34","75,680.00","4,869,251.20","4,869,251.20","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.69","73.48","63,010.00","4,629,974.80","4,629,974.80","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.49","1,067.98","4,008.00","4,280,463.84","4,280,463.84","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.23","47.86","80,268.00","3,841,626.48","3,841,626.48","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","2.18","98.50","38,158.00","3,758,563.00","3,758,563.00","Financials","2740542","BMG0450A1053","NASDAQ"
"UNM","UNUM","Equity","1.99","51.13","67,026.00","3,427,039.38","3,427,039.38","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.96","76.57","44,118.00","3,378,115.26","3,378,115.26","Financials","2196888","US1720621010","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","1.92","61.55","53,700.00","3,305,235.00","3,305,235.00","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"XL","XL GROUP LTD","Equity","1.78","39.45","77,868.00","3,071,892.60","3,071,892.60","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","1.56","80.09","33,484.00","2,681,733.56","2,681,733.56","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.32","39.89","57,170.00","2,280,511.30","2,280,511.30","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","1.31","103.45","21,842.00","2,259,554.90","2,259,554.90","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","1.21","554.01","3,764.00","2,085,293.64","2,085,293.64","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","1.20","66.74","30,862.00","2,059,729.88","2,059,729.88","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"BHF","BRIGHTHOUSE FINANCIAL INC","Equity","1.12","60.80","31,630.00","1,923,104.00","1,923,104.00","Financials","BF429K9","US10922N1037","NASDAQ"
"BRO","BROWN & BROWN INC","Equity","1.07","48.19","38,103.00","1,836,183.57","1,836,183.57","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","1.03","49.97","35,646.00","1,781,230.62","1,781,230.62","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","0.99","95.52","17,887.00","1,708,566.24","1,708,566.24","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"AXS","AXIS CAPITAL HOLDINGS LTD","Equity","0.93","57.31","27,829.00","1,594,879.99","1,594,879.99","Financials","2677606","BMG0692U1099","New York Stock Exchange Inc."
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.92","19.69","80,360.00","1,582,288.40","1,582,288.40","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"AGO","ASSURED GUARANTY LTD","Equity","0.87","37.75","39,625.00","1,495,843.75","1,495,843.75","Financials","B00V7H8","BMG0585R1060","New York Stock Exchange Inc."
"THG","HANOVER INSURANCE GROUP INC","Equity","0.82","96.93","14,527.00","1,408,102.11","1,408,102.11","Financials","2020415","US4108671052","New York Stock Exchange Inc."
"ATH","ATHENE HOLDING LTD","Equity","0.80","53.84","25,628.00","1,379,811.52","1,379,811.52","Financials","BZ13MZ1","BMG0684D1074","New York Stock Exchange Inc."
"PRI","PRIMERICA INC","Equity","0.75","81.55","15,778.00","1,286,695.90","1,286,695.90","Financials","B50K3X8","US74164M1080","New York Stock Exchange Inc."
"SIGI","SELECTIVE INSURANCE GROUP INC","Equity","0.66","53.85","21,040.00","1,133,004.00","1,133,004.00","Financials","2766173","US8163001071","NASDAQ"
"WTM","WHITE MOUNTAINS INSURANCE GROUP LT","Equity","0.61","857.00","1,230.00","1,054,110.00","1,054,110.00","Financials","2339252","BMG9618E1075","New York Stock Exchange Inc."
"PRA","PROASSURANCE CORP","Equity","0.61","54.65","19,245.00","1,051,739.25","1,051,739.25","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
