iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"180,707,956.36"
Shares Outstanding,"2,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","9.43","150.82","112,979.00","17,039,492.78","17,039,492.78","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","7.99","64.61","223,614.00","14,447,700.54","14,447,700.54","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","7.87","53.58","265,282.00","14,213,809.56","14,213,809.56","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","6.64","110.46","108,570.00","11,992,642.20","11,992,642.20","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.33","132.45","72,776.00","9,639,181.20","9,639,181.20","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","4.97","93.86","95,618.00","8,974,705.48","8,974,705.48","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","4.84","83.89","104,317.00","8,751,153.13","8,751,153.13","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","4.24","48.65","157,603.00","7,667,385.95","7,667,385.95","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.12","55.05","102,500.00","5,642,625.00","5,642,625.00","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.81","65.85","77,081.00","5,075,783.85","5,075,783.85","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.69","75.78","64,177.00","4,863,333.06","4,863,333.06","Financials","2516378","US5341871094","New York Stock Exchange Inc."
