iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Nov 30, 2017"
Total Net Assets,"178,586,120.56"
Shares Outstanding,"2,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","9.29","152.11","109,035.00","16,585,313.85","16,585,313.85","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","7.70","53.68","256,022.00","13,743,260.96","13,743,260.96","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","7.25","59.96","215,888.00","12,944,644.48","12,944,644.48","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","6.80","115.84","104,820.00","12,142,348.80","12,142,348.80","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.33","135.57","70,212.00","9,518,640.84","9,518,640.84","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","5.30","102.66","92,242.00","9,469,563.72","9,469,563.72","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","4.94","87.64","100,656.00","8,821,491.84","8,821,491.84","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","4.53","53.18","152,026.00","8,084,742.68","8,084,742.68","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.18","57.44","98,863.00","5,678,690.72","5,678,690.72","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.95","70.79","74,321.00","5,261,183.59","5,261,183.59","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.65","76.55","61,843.00","4,734,081.65","4,734,081.65","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.44","1,106.90","3,936.00","4,356,758.40","4,356,758.40","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.22","50.28","78,830.00","3,963,572.40","3,963,572.40","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"UNM","UNUM","Equity","2.09","56.62","65,818.00","3,726,615.16","3,726,615.16","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.99","94.69","37,482.00","3,549,170.58","3,549,170.58","Financials","2740542","BMG0450A1053","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","1.94","65.83","52,706.00","3,469,635.98","3,469,635.98","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.81","74.73","43,325.00","3,237,677.25","3,237,677.25","Financials","2196888","US1720621010","NASDAQ"
"XL","XL GROUP LTD","Equity","1.66","38.82","76,426.00","2,966,857.32","2,966,857.32","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","1.62","88.85","32,632.00","2,899,353.20","2,899,353.20","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.38","44.20","55,632.00","2,458,934.40","2,458,934.40","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","1.25","105.06","21,276.00","2,235,256.56","2,235,256.56","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","1.23","584.80","3,764.00","2,201,187.20","2,201,187.20","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","1.17","69.12","30,290.00","2,093,644.80","2,093,644.80","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","1.09","55.59","34,986.00","1,944,871.74","1,944,871.74","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","1.07","51.25","37,397.00","1,916,596.25","1,916,596.25","Financials","2692687","US1152361010","New York Stock Exchange Inc."
